"","ID1","ID2","kin","k0","k2","nsnp"
"3600","NA19153","NA19154",0.241989168347922,0.155700380243811,0.0414288702146065,2716178
"3601","NA19153","NA19159",-0.0143625500386125,1.05656717719216,-0.000883022962289759,2711262
"3602","NA19153","NA19160",-0.0116147199307334,1.07385694819591,0.02739806847298,2722757
"3603","NA19153","NA19161",-0.0165547884512079,1.09555283820362,0.0293336843987897,2736717
"3604","NA19153","NA19171",-0.0113367044240321,1.07601575960747,0.0306689419113434,2658449
"3605","NA19153","NA19172",-0.00717640466237531,1.02636620747631,-0.0023394111731931,2696627
"3606","NA19153","NA19173",-0.0105774202943141,1.0735172324076,0.0312075512303399,2709155
"3607","NA19153","NA19192",-0.00691877684574317,1.0600585305327,0.032383423149723,2710429
"3608","NA19153","NA19193",-0.0127112846695818,1.05281490644037,0.00196976776204514,2725750
"3609","NA19153","NA19194",-0.0135291284784671,1.08312363631895,0.029007122405079,2733404
"3610","NA19153","NA19200",-0.0111967543022215,1.07112373619455,0.0263367189856663,2711852
"3611","NA19153","NA19201",-0.0157951496285663,1.0634709064189,0.000290307904632658,2602549
"3612","NA19153","NA19202",-0.0175965481938416,1.07144421496271,0.00105802218734321,2692605
"3613","NA19153","NA19203",-0.0130655947979672,1.08910532995295,0.036842950761086,2744137
"3614","NA19153","NA19204",-0.0174956135484813,1.07124084349915,0.00125838930522496,2574364
"3615","NA19153","NA19205",-0.0222716731155565,1.1162592142938,0.0271725218315699,2671206
"3616","NA19153","NA19206",-0.0111297235434922,1.04797563392141,0.00345673974744049,2736033
"3617","NA19153","NA19207",-0.00352417182701483,1.04770036126868,0.0336036739606255,2643918
"3618","NA19153","NA19208",-0.0109917484111939,1.0791472655472,0.0351802719024256,2698825
"3619","NA19153","NA19209",-0.00337574106544107,1.01287562641914,-0.000627337842621412,2633532
"3620","NA19153","NA19210",-0.00984685266031195,1.06753969725654,0.0281522866152896,2720865
"3621","NA19153","NA19211",-0.00510830111959483,1.05200593350938,0.0315727290310033,2679237
"3622","NA19153","NA19221",-0.0182849172750389,1.0777474800682,0.00460781096804566,2733366
"3623","NA19153","NA19222",-0.0119103988900633,1.04794960984279,0.000308014282538077,2706003
"3624","NA19153","NA19223",-0.0145004949538647,1.0844099699872,0.0264079901717413,2717389
"3625","NA19153","NA19238",-0.009298437361013,1.04150097283228,0.00430722338822385,2623618
"3626","NA19153","NA19239",-0.00122705839981394,1.04265228784864,0.0377440542493829,2579985
"3627","NA19153","NA19240",-0.00590734054688689,1.02079766201424,-0.00283170017331134,2616308
"3628","NA19154","NA19159",-0.0060700119262613,1.02325101982677,-0.00102902787827496,2752132
"3629","NA19154","NA19160",-0.0109610941144456,1.07068985910748,0.0268454826496983,2807289
"3630","NA19154","NA19161",-0.0119922362422116,1.07796867800152,0.0299997330326723,2800580
"3631","NA19154","NA19171",-0.016288913521151,1.09535538371338,0.0301997296287781,2734205
"3632","NA19154","NA19172",-0.00932987219544926,1.03413355382633,-0.00318593495546261,2777692
"3633","NA19154","NA19173",-0.0145289378623219,1.09441287734363,0.036297125894341,2811743
"3634","NA19154","NA19192",-0.01080197934174,1.07558998915741,0.032382071790448,2817253
"3635","NA19154","NA19193",-0.00808822032068459,1.03256461555233,0.000211734269588474,2751316
"3636","NA19154","NA19194",-0.0112504708779749,1.07646019033336,0.0314583068214649,2804540
"3637","NA19154","NA19200",-0.00893307990812206,1.06432630984338,0.028593990210888,2795743
"3638","NA19154","NA19201",-0.00125354571220862,1.00572613295637,0.000711950107532695,2627976
"3639","NA19154","NA19202",-0.00763841258137862,1.03455507067054,0.00400142034502221,2741233
"3640","NA19154","NA19203",-0.0132031911662854,1.08032930264908,0.0275165379839397,2782350
"3641","NA19154","NA19204",-0.0204982794459699,1.08373791637764,0.00174479859376146,2640297
"3642","NA19154","NA19205",-0.0213032123809847,1.11597851115066,0.0307656616267259,2733199
"3643","NA19154","NA19206",-0.0116070982655259,1.04986388457228,0.00343549151017923,2822059
