i	j	kin	ibd0	ibd1	ibd2
{"s":"NA18501"}	{"s":"NA19154"}	-2.4808e-02	1.1313e+00	-1.6345e-01	3.2109e-02
{"s":"NA18501"}	{"s":"NA19159"}	1.4335e-02	9.4337e-01	5.5913e-02	7.1398e-04
{"s":"NA18501"}	{"s":"NA19160"}	1.5099e-03	1.0266e+00	-5.9324e-02	3.2682e-02
{"s":"NA18501"}	{"s":"NA19161"}	1.0927e-02	9.8481e-01	-1.3320e-02	2.8514e-02
{"s":"NA18501"}	{"s":"NA19171"}	-2.8389e-02	1.1467e+00	-1.7979e-01	3.3114e-02
{"s":"NA18501"}	{"s":"NA19172"}	-4.1717e-03	1.0191e+00	-2.1492e-02	2.4025e-03
{"s":"NA18501"}	{"s":"NA19173"}	-2.3920e-02	1.1230e+00	-1.5039e-01	2.7358e-02
{"s":"NA18501"}	{"s":"NA19192"}	-5.9004e-03	1.0563e+00	-8.9005e-02	3.2702e-02
{"s":"NA18501"}	{"s":"NA19193"}	1.3697e-02	9.4640e-01	5.2404e-02	1.1924e-03
{"s":"NA18501"}	{"s":"NA19194"}	4.6413e-03	1.0109e+00	-4.0420e-02	2.9492e-02
{"s":"NA18501"}	{"s":"NA19200"}	5.4833e-03	1.0132e+00	-4.8260e-02	3.5096e-02
{"s":"NA18501"}	{"s":"NA19201"}	3.9549e-02	8.4443e-01	1.5294e-01	2.6276e-03
{"s":"NA18501"}	{"s":"NA19202"}	3.1079e-02	8.8023e-01	1.1522e-01	4.5454e-03
{"s":"NA18501"}	{"s":"NA19203"}	-1.6089e-02	1.1003e+00	-1.3627e-01	3.5956e-02
{"s":"NA18501"}	{"s":"NA19204"}	-4.7030e-02	1.1994e+00	-2.1069e-01	1.1288e-02
{"s":"NA18501"}	{"s":"NA19205"}	-4.3002e-02	1.2065e+00	-2.4107e-01	3.4533e-02
{"s":"NA18501"}	{"s":"NA19206"}	-6.4787e-03	1.0284e+00	-3.0852e-02	2.4684e-03
{"s":"NA18501"}	{"s":"NA19207"}	-2.9700e-02	1.1540e+00	-1.8912e-01	3.5159e-02
{"s":"NA18501"}	{"s":"NA19208"}	-2.3837e-02	1.1293e+00	-1.6318e-01	3.3918e-02
{"s":"NA18501"}	{"s":"NA19209"}	-3.2137e-02	1.1283e+00	-1.2809e-01	-2.2788e-04
